Rank,Mark,Competitor,Date of birth,Nationality,Position in the competition,dummy,Place of the competition,Date,Result score,athlete_href
658,1:47.56,Hiroshi SASANO,23 SEP 1978,JPN,1,,Nobeoka (JPN),22 MAY 2004,1097,/athletes/athlete=14205586
658,1:47.56,Jason STEWART,21 NOV 1981,NZL,5,,Cottbus (GER),09 JUN 2004,1097,/athletes/athlete=14215889
660,1:47.57,Rashid HABIB,09 NOV 1979,BRN,2,,Nijmegen (NED),22 MAY 2004,1096,/athletes/athlete=14175118
660,1:47.57,Bryan WOODWARD,03 MAR 1974,USA,8,,Victoria (CAN),11 JUN 2004,1096,/athletes/athlete=14255505
660,1:47.57,Mindaugas NORBUTAS,24 AUG 1976,LTU,7,,Cuxhaven (GER),26 JUN 2004,1096,/athletes/athlete=14211499
663,1:47.58,Paskar OWOR,22 DEC 1980,UGA,5,,Brasschaat (BEL),07 AUG 2004,1096,/athletes/athlete=14229657
663,1:47.58,Majed Saeed SULTAN,03 NOV 1986,QAT,4,,Oristano (ITA),11 SEP 2004,1096,/athletes/athlete=14219116
665,1:47.59,Johan CRONJE,13 APR 1982,RSA,4,,Luzern (SUI),09 JUN 2004,1096,/athletes/athlete=14219872
665,1:47.59,Mirosław FORMELA,31 OCT 1978,POL,1,,Bydgoszcz (POL),03 JUL 2004,1096,/athletes/athlete=14216628
665,1:47.59,Thomas PLANQUE,26 APR 1979,FRA,4,,Reims (FRA),21 JUL 2004,1096,/athletes/athlete=14187087
668,1:47.60,Toby HENKELS,25 AUG 1979,USA,14h1,,"Sacramento, CA (USA)",09 JUL 2004,1096,/athletes/athlete=14240490
668,1:47.60,Jamale AARRASS,15 NOV 1981,FRA,5,,Reims (FRA),21 JUL 2004,1096,/athletes/athlete=14182800
668,1:47.60,Derrick PETERSON,28 NOV 1977,USA,4h9,,"Olympic Stadium, Athina (GRE)",25 AUG 2004,1096,/athletes/athlete=14248336
671,1:47.61,Antoine MARTIAK,28 JAN 1983,FRA,4,,Villefranche-sur-Saone (FRA),26 JUN 2004,1095,/athletes/athlete=14186332
671,1:47.61,Wilson KIRWA,28 DEC 1974,FIN,6,,Lapinlahti (FIN),18 JUL 2004,1095,/athletes/athlete=14182056
673,1:47.62,Marc SYLVESTER,21 NOV 1982,USA,4,,"Chapel Hill, NC (USA)",26 JUN 2004,1095,/athletes/athlete=14252683
673,1:47.62,Michael MCGRATH,17 MAR 1985,USA,9f2,,Heusden-Zolder (BEL),31 JUL 2004,1095,/athletes/athlete=14245600
673,1:47.62,Nico MOTCHEBON,13 NOV 1969,GER,4,,München (GER),08 AUG 2004,1095,/athletes/athlete=14193428
676,1:47.63,Moise JOSEPH,27 DEC 1981,HAI,2,,"Tempe, AZ (USA)",10 APR 2004,1095,/athletes/athlete=14195812
676,1:47.63,Valdinei Abilio DA SILVA,29 MAR 1972,BRA,1,,Ibirapuera (BRA),18 APR 2004,1095,/athletes/athlete=14176030
676,1:47.63,Nathan BRANNEN,08 SEP 1982,CAN,9,,Victoria (CAN),11 JUN 2004,1095,/athletes/athlete=14174555
676,1:47.63,Juha KUKKAMO,01 APR 1976,FIN,3,,Kuortane (FIN),27 JUN 2004,1095,/athletes/athlete=14182115
676,1:47.63,Marc SYLVESTER,21 NOV 1982,USA,6sf2,,"Sacramento, CA (USA)",10 JUL 2004,1095,/athletes/athlete=14252683
676,1:47.63,Jonathan JOHNSON,05 MAR 1982,USA,12f2,,Zürich (SUI),06 AUG 2004,1095,/athletes/athlete=14242140
682,1:47.64,Werner BOTHA,31 JAN 1978,RSA,3,,Nijmegen (NED),22 MAY 2004,1094,/athletes/athlete=14219771
682,1:47.64,Salvador CRESPO,21 OCT 1983,ESP,9,,Zaragoza (ESP),08 JUN 2004,1094,/athletes/athlete=14166803
682,1:47.64,Manuel DAMIAO,19 JUL 1978,POR,1,,Lisboa (POR),13 JUN 2004,1094,/athletes/athlete=14218156
682,1:47.64,Dmitrijs MIĻKEVIČS,06 DEC 1981,LAT,3,,Bielsko-Biala (POL),27 JUN 2004,1094,/athletes/athlete=14211025
682,1:47.64,Ferencz RIGO,1978,ROU,1,,Bucureşti (ROU),17 JUL 2004,1094,/athletes/athlete=14219513
687,1:47.65,Prince MUMBA,28 AUG 1984,ZAM,7,,"Austin, TX (USA)",12 JUN 2004,1094,/athletes/athlete=14256437
688,1:47.66,Khalid TIGHAZOUINE,18 JUN 1977,MAR,1,,Fort-de-France (FRA),24 APR 2004,1094,/athletes/athlete=14212499
688,1:47.66,Sylas KIMUTAI,12 OCT 1983,KEN,7,,"Blankers-Koen Stadion, Hengelo (NED)",31 MAY 2004,1094,/athletes/athlete=14208149
690,1:47.67,Bonolo MABOA,24 AUG 1985,RSA,2,,Pretoria (RSA),20 FEB 2004,1093,/athletes/athlete=14220426
690,1:47.67,Khadevis ROBINSON,19 JUL 1976,USA,1,,"Azusa, CA (USA)",10 APR 2004,1093,/athletes/athlete=14249779
690,1:47.67,Willy ROTICH,23 MAR 1976,KEN,1,,Keuruun (FIN),25 JUN 2004,1093,/athletes/athlete=14209687
690,1:47.67,Christian NEUNHÄUSERER,21 JUN 1978,ITA,6,,Pergine Valsugana (ITA),23 JUL 2004,1093,/athletes/athlete=14200984
690,1:47.67,Justus KOECH,19 MAR 1980,KEN,11,,"Crystal Palace, London (GBR)",30 JUL 2004,1093,/athletes/athlete=14208628
690,1:47.67,Mohammed Khalaf AL AZEMI,16 JUN 1982,KUW,7h4,,"Olympic Stadium, Athina (GRE)",25 AUG 2004,1093,/athletes/athlete=14210794
696,1:47.68,Jacob KOCZMAN,21 NOV 1978,USA,15h1,,"Sacramento, CA (USA)",09 JUL 2004,1093,/athletes/athlete=14243219
696,1:47.68,Andrew ELLERTON,18 NOV 1983,CAN,3,,Victoria (CAN),11 JUL 2004,1093,/athletes/athlete=14174315
696,1:47.68,René HERMS,17 JUL 1982,GER,21sf1,,"Olympic Stadium, Athina (GRE)",26 AUG 2004,1093,/athletes/athlete=14192509
699,1:47.69,Graham DAVIDSON,14 OCT 1978,RSA,6,,Durban (RSA),17 APR 2004,1093,/athletes/athlete=14219884
699,1:47.69,James NASRAT,10 JAN 1983,GBR,1,,Szombathely (HUN),29 MAY 2004,1093,/athletes/athlete=14190261
,,,,,,,,,,
699,1:47.69,Ferencz RIGO,1978,ROU,1,,Bucureşti (ROU),30 MAY 2004,1093,/athletes/athlete=14219513
699,1:47.69,Panayotis STROUBAKOS,08 SEP 1972,GRE,7h2,,"Olympic Stadium, Athina (GRE)",25 AUG 2004,1093,/athletes/athlete=14195522
703,1:47.70,Werner BOTHA,31 JAN 1978,RSA,1,,Cape Town (RSA),19 MAR 2004,1093,/athletes/athlete=14219771
703,1:47.70,Diogo SOUSA,28 NOV 1983,POR,5,,"Estadio Iberoamericano, Huelva (ESP)",08 AUG 2004,1093,/athletes/athlete=14218625
705,1:47.71,Arthémon HATUNGIMANA,21 JAN 1974,BDI,8,,Rabat (MAR),19 JUN 2004,1092,/athletes/athlete=14177807
705,1:47.71,Rob MYERS,05 AUG 1980,USA,2,,"Bloomington, IN (USA)",02 JUL 2004,1092,/athletes/athlete=14246917
705,1:47.71,Juha KUKKAMO,01 APR 1976,FIN,5,,Barcelona (ESP),09 JUL 2004,1092,/athletes/athlete=14182115
705,1:47.71,Selahattin ÇOBANOĞLU,21 AUG 1985,TUR,3,,"Stadio Zecchini, Grosseto (ITA)",16 JUL 2004,1092,/athletes/athlete=14229350
705,1:47.71,João PIRES,10 JUN 1979,POR,3f2,,Madrid (ESP),17 JUL 2004,1092,/athletes/athlete=14218469
705,1:47.71,Mirosław FORMELA,31 OCT 1978,POL,4,,Leverkusen (GER),01 AUG 2004,1092,/athletes/athlete=14216628
705,1:47.71,Manuel OLMEDO,17 MAY 1983,ESP,4h8,,"Olympic Stadium, Athina (GRE)",25 AUG 2004,1092,/athletes/athlete=14165520
712,1:47.72,Yuriy BORZAKOVSKIY,12 APR 1981,RUS,1,,Moskva (RUS),05 SEP 2004,1092,/athletes/athlete=14221887
713,1:47.73,Jason BRIGGS,07 DEC 1980,USA,6h,,"Baton Rouge, LA (USA)",28 MAY 2004,1092,/athletes/athlete=14233305
713,1:47.73,Alfred Kirwa YEGO,28 NOV 1986,KEN,5,,Oristano (ITA),11 SEP 2004,1092,/athletes/athlete=14209993
715,1:47.74,Werner BOTHA,31 JAN 1978,RSA,3,,Pretoria (RSA),20 FEB 2004,1091,/athletes/athlete=14219771
715,1:47.74,Arthémon HATUNGIMANA,21 JAN 1974,BDI,6,,Villeneuve d'Ascq (FRA),26 JUN 2004,1091,/athletes/athlete=14177807
715,1:47.74,Werner BOTHA,31 JAN 1978,RSA,2,,Potchefstroom (RSA),09 JUL 2004,1091,/athletes/athlete=14219771
715,1:47.74,Livio SCIANDRA,23 SEP 1980,ITA,4,,Eboli (ITA),19 SEP 2004,1091,/athletes/athlete=14201441
719,1:47.75,Isaac Kipruto SANG,05 JAN 1978,KEN,5,,Erfurt (GER),13 JUN 2004,1091,/athletes/athlete=14209746
719,1:47.75,Hiroshi SASANO,23 SEP 1978,JPN,5,,Tallinn (EST),21 JUL 2004,1091,/athletes/athlete=14205586
721,1:47.76,Jesse O'CONNELL,20 MAR 1982,USA,1,,"Chapel Hill, NC (USA)",09 APR 2004,1091,/athletes/athlete=14247429
721,1:47.76,Sam BURLEY,13 FEB 1981,USA,1,,"Knoxville, TN (USA)",09 APR 2004,1091,/athletes/athlete=14233840
721,1:47.76,Elliott BLOUNT,25 JUN 1979,USA,1,,"Walnut, CA (USA)",18 APR 2004,1091,/athletes/athlete=14232814
721,1:47.76,Andrea LONGO,26 JUN 1975,ITA,7,,"AC Gianni Brera, Milano (ITA)",02 JUN 2004,1091,/athletes/athlete=14200678
721,1:47.76,Timothy DUNNE,22 MAY 1979,USA,3,,Eagle Rock (USA),05 JUN 2004,1091,/athletes/athlete=14236921
721,1:47.76,Michael TOO,03 AUG 1983,KEN,2,,Utrecht (NED),24 JUL 2004,1091,/athletes/athlete=14209908
721,1:47.76,Hiroshi SASANO,23 SEP 1978,JPN,5,,Lappeenranta (FIN),25 JUL 2004,1091,/athletes/athlete=14205586
728,1:47.77,Michael STEMBER,30 JAN 1978,USA,2,,"Modesto, CA (USA)",08 MAY 2004,1090,/athletes/athlete=14252178
728,1:47.77,Thomas PLANQUE,26 APR 1979,FRA,7,,Villeneuve d'Ascq (FRA),26 JUN 2004,1090,/athletes/athlete=14187087
728,1:47.77,Mohammed BATTANI,07 MAR 1983,MAR,1h2,,Sotteville-lès-Rouen (FRA),16 JUL 2004,1090,/athletes/athlete=14211860
728,1:47.77,Mohamed MORO,05 MAR 1984,MAR,7,,Pergine Valsugana (ITA),23 JUL 2004,1090,/athletes/athlete=14200935
732,1:47.78,Shawn ABRAHAMS,04 JUL 1970,RSA,2,,Port Elizabeth (RSA),12 MAR 2004,1090,/athletes/athlete=14219629
732,1:47.78,Rashid HABIB,09 NOV 1979,BRN,2,,Hoorn (NED),15 MAY 2004,1090,/athletes/athlete=14175118
732,1:47.78,James HATCH,27 SEP 1982,USA,8,,"Austin, TX (USA)",12 JUN 2004,1090,/athletes/athlete=14240181
732,1:47.78,Trent RITER,15 JUN 1982,USA,1,,"Palo Alto, CA (USA)",20 JUN 2004,1090,/athletes/athlete=14249629
732,1:47.78,Paskar OWOR,22 DEC 1980,UGA,3,,Naimette-Xhovémont (BEL),03 AUG 2004,1090,/athletes/athlete=14229657
737,1:47.79,Miguel QUESADA,18 SEP 1979,ESP,3,,Rivas (ESP),10 JUN 2004,1090,/athletes/athlete=14165317
738,1:47.80,David FIEGEN,03 SEP 1984,LUX,1,,Luxembourg (LUX),21 FEB 2004,1090,/athletes/athlete=14211669
738,1:47.80,Wil FITTS,18 SEP 1983,USA,3,,"Tempe, AZ (USA)",10 APR 2004,1090,/athletes/athlete=14237780
738,1:47.80,Tom OMEY,24 APR 1975,BEL,2,,Dessau (GER),04 JUN 2004,1090,/athletes/athlete=14177389
738,1:47.80,Arturo CASADO,26 JAN 1983,ESP,5,,Salamanca (ESP),13 JUL 2004,1090,/athletes/athlete=14166923
738,1:47.80,Joel KIDGER,16 MAR 1980,GBR,1,,Ljubljana (SLO),10 AUG 2004,1090,/athletes/athlete=14189809
743,1:47.81,Kris LANDERS,10 MAR 1982,USA,3,,"Palo Alto, CA (USA)",30 APR 2004,1089,/athletes/athlete=14243580
743,1:47.81,Jonathan JOHNSON,05 MAR 1982,USA,1,,"College Station, TX (USA)",29 MAY 2004,1089,/athletes/athlete=14242140
743,1:47.81,Courtney JAWORSKI,07 MAY 1984,USA,5,,"Chapel Hill, NC (USA)",26 JUN 2004,1089,/athletes/athlete=14241846
743,1:47.81,Pavlos FAROUGIAS,06 JUN 1977,GRE,12,,Herakleion (GRE),04 JUL 2004,1089,/athletes/athlete=14195086
743,1:47.81,Peter Roko ASHAK ABAIH,1984,SUD,2,,Ljubljana (SLO),10 AUG 2004,1089,/athletes/athlete=14225664
743,1:47.81,Tom VANCHAZE,22 DEC 1982,BEL,1,,Breda (NED),21 AUG 2004,1089,/athletes/athlete=14177206
749,1:47.82,Mike INGE,31 JAN 1984,USA,3,,"Ann Arbor, MI (USA)",07 MAY 2004,1089,/athletes/athlete=14241522
749,1:47.82,Maurizio BOBBATO,17 FEB 1979,ITA,1,,Bologna (ITA),17 JUN 2004,1089,/athletes/athlete=14199652
749,1:47.82,Nicholas WACHIRA,19 NOV 1982,KEN,8,,Nairobi (KEN),26 JUN 2004,1089,/athletes/athlete=14209935
749,1:47.82,Aldwyn SAPPLETON,21 DEC 1981,JAM,1,,Kingston (JAM),27 JUN 2004,1089,/athletes/athlete=14202212
749,1:47.82,Rizak DIRSHE,05 JAN 1972,SWE,2,,Chania (GRE),28 JUN 2004,1089,/athletes/athlete=14227465
749,1:47.82,Anton BOCHKARYOV,03 NOV 1978,RUS,5,,Tula (RUS),31 JUL 2004,1089,/athletes/athlete=14221844
749,1:47.82,Juan de Dios JURADO,09 APR 1981,ESP,2,,Nivelles (BEL),15 AUG 2004,1089,/athletes/athlete=14166074
756,1:47.83,Jimmy LOMBA,30 JUN 1978,FRA,6,,San Sebastián (ESP),03 JUL 2004,1089,/athletes/athlete=14186108
756,1:47.83,Derrick PETERSON,28 NOV 1977,USA,2h3,,"Sacramento, CA (USA)",09 JUL 2004,1089,/athletes/athlete=14248336
756,1:47.83,Jason STEWART,21 NOV 1981,NZL,4f2,,Madrid (ESP),17 JUL 2004,1089,/athletes/athlete=14215889
756,1:47.83,Selahattin ÇOBANOĞLU,21 AUG 1985,TUR,6h6,,"Olympic Stadium, Athina (GRE)",25 AUG 2004,1089,/athletes/athlete=14229350
760,1:47.84,Mouhssin CHEHIBI,28 JAN 1978,MAR,1,,"Tomblaine, Nancy (FRA)",03 JUN 2004,1088,/athletes/athlete=14211969
760,1:47.84,Marc SYLVESTER,21 NOV 1982,USA,4h2,,"Austin, TX (USA)",10 JUN 2004,1088,/athletes/athlete=14252683
760,1:47.84,Adil HADJ HAMOU,23 MAR 1979,FRA,5,,Villefranche-sur-Saone (FRA),26 JUN 2004,1088,/athletes/athlete=14185257
760,1:47.84,Edwin LETTING,15 MAY 1984,KEN,1h1,,Brazzaville (CGO),16 JUL 2004,1088,/athletes/athlete=14208880
760,1:47.84,Jonas HAMM,02 MAY 1980,FIN,7,,Lapinlahti (FIN),18 JUL 2004,1088,/athletes/athlete=14181861
760,1:47.84,Matthew SHONE,10 JUL 1975,GBR,2,,Newham (GBR),31 JUL 2004,1088,/athletes/athlete=14190758
760,1:47.84,Majed Saeed SULTAN,03 NOV 1986,QAT,6,,Brasschaat (BEL),07 AUG 2004,1088,/athletes/athlete=14219116
767,1:47.85,Khalid TIGHAZOUINE,18 JUN 1977,MAR,2,,Luxembourg (LUX),21 FEB 2004,1088,/athletes/athlete=14212499
767,1:47.85,Arthémon HATUNGIMANA,21 JAN 1974,BDI,2,,Leiden (NED),12 JUN 2004,1088,/athletes/athlete=14177807
767,1:47.85,Mouhssin CHEHIBI,28 JAN 1978,MAR,1,,Gavá (ESP),13 JUN 2004,1088,/athletes/athlete=14211969
767,1:47.85,Ismail Ahmed ISMAIL,10 SEP 1984,SUD,9,,Rabat (MAR),19 JUN 2004,1088,/athletes/athlete=14225690
767,1:47.85,Anton BOCHKARYOV,03 NOV 1978,RUS,1,,Moskva (RUS),13 JUL 2004,1088,/athletes/athlete=14221844
767,1:47.85,Abdulrahman SULEIMAN,10 JAN 1984,QAT,1,,Oordegem (BEL),17 JUL 2004,1088,/athletes/athlete=14219112
773,1:47.86,Sam BURLEY,13 FEB 1981,USA,5,,Luzern (SUI),09 JUN 2004,1088,/athletes/athlete=14233840
773,1:47.86,Ramil ARITKULOV,01 MAR 1978,RUS,3,,Chania (GRE),28 JUN 2004,1088,/athletes/athlete=14221692
773,1:47.86,Sam ELLIS,23 JUN 1982,GBR,2,,Cardiff (GBR),17 JUL 2004,1088,/athletes/athlete=14189161
776,1:47.87,Johnny SHUPING,10 SEP 1984,RSA,1,,Potchefstroom (RSA),16 MAR 2004,1088,/athletes/athlete=14221142
776,1:47.87,Abdelkader MAHMOUDI,16 JAN 1983,FRA,2,,"Tomblaine, Nancy (FRA)",03 JUN 2004,1088,/athletes/athlete=14186208
776,1:47.87,Derrick PETERSON,28 NOV 1977,USA,2sf1,,"Sacramento, CA (USA)",10 JUL 2004,1088,/athletes/athlete=14248336
776,1:47.87,Abdulrahman SULEIMAN,10 JAN 1984,QAT,5,,Nuoro (ITA),14 JUL 2004,1088,/athletes/athlete=14219112
776,1:47.87,Fernando ALMEIDA,22 JUN 1981,POR,7,,Brasschaat (BEL),07 AUG 2004,1088,/athletes/athlete=14217988
776,1:47.87,Paskar OWOR,22 DEC 1980,UGA,5h5,,"Olympic Stadium, Athina (GRE)",25 AUG 2004,1088,/athletes/athlete=14229657
782,1:47.88,Jeff DELONG,07 NOV 1977,USA,4,,Eagle Rock (USA),05 JUN 2004,1087,/athletes/athlete=14236247
782,1:47.88,Manuel OLMEDO,17 MAY 1983,ESP,4,,Rivas (ESP),10 JUN 2004,1087,/athletes/athlete=14165520
782,1:47.88,Nabil MADI,09 JUN 1981,ALG,5,,Algiers (ALG),24 JUN 2004,1087,/athletes/athlete=14180691
782,1:47.88,Rashid HABIB,09 NOV 1979,BRN,6,,Villefranche-sur-Saone (FRA),26 JUN 2004,1087,/athletes/athlete=14175118
782,1:47.88,Jesse O'CONNELL,20 MAR 1982,USA,3sf1,,"Sacramento, CA (USA)",10 JUL 2004,1087,/athletes/athlete=14247429
782,1:47.88,Stanislav KHUKHARIN,07 NOV 1971,RUS,2,,Moskva (RUS),13 JUL 2004,1087,/athletes/athlete=14222640
788,1:47.89,K. Mathews BINU,20 DEC 1980,IND,1,,Patiala (IND),18 APR 2004,1087,/athletes/athlete=14197917
788,1:47.89,Michal ŠNEBERGER,23 JUN 1978,CZE,5h8,,"Olympic Stadium, Athina (GRE)",25 AUG 2004,1087,/athletes/athlete=14168209
790,1:47.90,Jacob KOCZMAN,21 NOV 1978,USA,1,,"Bloomington, IN (USA)",29 JUN 2004,1087,/athletes/athlete=14243219
790,1:47.90,Manuel OLMEDO,17 MAY 1983,ESP,7,,San Sebastián (ESP),03 JUL 2004,1087,/athletes/athlete=14165520
790,1:47.90,Ricky SOOS,28 JUN 1983,GBR,1h2,,Manchester (GBR),10 JUL 2004,1087,/athletes/athlete=14190840
790,1:47.90,William YIAMPOY,17 MAY 1974,KEN,1,,Birmingham (GBR),25 JUL 2004,1087,/athletes/athlete=14210002
794,1:47.91,Courtney JAWORSKI,07 MAY 1984,USA,2,,"Gainesville, FL (USA)",29 MAY 2004,1086,/athletes/athlete=14241846
794,1:47.91,Elliott BLOUNT,25 JUN 1979,USA,1,,"Palo Alto, CA (USA)",31 MAY 2004,1086,/athletes/athlete=14232814
794,1:47.91,Ramil ARITKULOV,01 MAR 1978,RUS,1,,Bratislava (SVK),10 JUN 2004,1086,/athletes/athlete=14221692
794,1:47.91,Jeff DELONG,07 NOV 1977,USA,10,,Victoria (CAN),11 JUN 2004,1086,/athletes/athlete=14236247
794,1:47.91,Diogo SOUSA,28 NOV 1983,POR,2,,Lisboa (POR),13 JUN 2004,1086,/athletes/athlete=14218625
794,1:47.91,Dmitriy ONUFRIYENKO,12 AUG 1980,RUS,3,,Moskva (RUS),13 JUL 2004,1086,/athletes/athlete=14223417
794,1:47.91,Jimmy LOMBA,30 JUN 1978,FRA,5,,München (GER),08 AUG 2004,1086,/athletes/athlete=14186108
,,,,,,,,,,
801,1:47.92,Mohammed Khalaf AL AZEMI,16 JUN 1982,KUW,1,,Kuwait (KUW),18 MAY 2004,1086,/athletes/athlete=14210794
801,1:47.92,Cătălin MIHU,11 MAR 1982,ROU,2,,Bucureşti (ROU),30 MAY 2004,1086,/athletes/athlete=14219421
801,1:47.92,Nico MOTCHEBON,13 NOV 1969,GER,3,,Dessau (GER),04 JUN 2004,1086,/athletes/athlete=14193428
801,1:47.92,Majed Saeed SULTAN,03 NOV 1986,QAT,4h7,,"Olympic Stadium, Athina (GRE)",25 AUG 2004,1086,/athletes/athlete=14219116
805,1:47.93,Nicolas AÏSSAT,24 JUL 1980,FRA,1,,Albi (FRA),28 MAY 2004,1086,/athletes/athlete=14182806
806,1:47.94,Bryan WOODWARD,03 MAR 1974,USA,5,,Eagle Rock (USA),05 JUN 2004,1086,/athletes/athlete=14255505
806,1:47.94,James MCILROY,30 DEC 1976,GBR,6,,Luzern (SUI),09 JUN 2004,1086,/athletes/athlete=14190092
806,1:47.94,José Manuel CORTÉS,10 JUN 1983,ESP,2,,Almería (ESP),01 AUG 2004,1086,/athletes/athlete=14166813
806,1:47.94,Thomas PLANQUE,26 APR 1979,FRA,8,,Brasschaat (BEL),07 AUG 2004,1086,/athletes/athlete=14187087
810,1:47.95,Johnny SHUPING,10 SEP 1984,RSA,4,,Pretoria (RSA),20 FEB 2004,1085,/athletes/athlete=14221142
810,1:47.95,James HATCH,27 SEP 1982,USA,2,,"Walnut, CA (USA)",18 APR 2004,1085,/athletes/athlete=14240181
810,1:47.95,Dmitrijs MIĻKEVIČS,06 DEC 1981,LAT,2,,"College Station, TX (USA)",29 MAY 2004,1085,/athletes/athlete=14211025
810,1:47.95,Ramil ARITKULOV,01 MAR 1978,RUS,1,,Tula (RUS),25 JUN 2004,1085,/athletes/athlete=14221692
810,1:47.95,Diego RUIZ,05 FEB 1982,ESP,1,,Alcalá de Henáres (ESP),04 JUL 2004,1085,/athletes/athlete=14165109
810,1:47.95,Abdoulaye WAGNE,30 JAN 1981,SEN,5h7,,"Olympic Stadium, Athina (GRE)",25 AUG 2004,1085,/athletes/athlete=14224870
816,1:47.96,Jesse O'CONNELL,20 MAR 1982,USA,1,,"Harrisonburg, VA (USA)",08 MAY 2004,1085,/athletes/athlete=14247429
816,1:47.96,Mike INGE,31 JAN 1984,USA,1,,Oxford (GBR),15 MAY 2004,1085,/athletes/athlete=14241522
816,1:47.96,Rickard PELL,24 MAR 1979,SWE,4,,Nijmegen (NED),22 MAY 2004,1085,/athletes/athlete=14227962
816,1:47.96,Kevin ELLIOTT,07 NOV 1978,USA,5,,"Carson, CA (USA)",22 MAY 2004,1085,/athletes/athlete=14237208
816,1:47.96,Brian RUE,26 FEB 1979,USA,2,,"Waltham, MA (USA)",12 JUN 2004,1085,/athletes/athlete=14250170
816,1:47.96,Majed Saeed SULTAN,03 NOV 1986,QAT,3,,Ninove (BEL),24 JUL 2004,1085,/athletes/athlete=14219116
822,1:47.97,Kevin ELLIOTT,07 NOV 1978,USA,10,,"Los Angeles, CA (USA)",27 JUN 2004,1085,/athletes/athlete=14237208
822,1:47.97,Jean-Patrick NDUWIMANA,09 MAR 1978,BDI,1,,Sollentuna (SWE),08 JUL 2004,1085,/athletes/athlete=14177791
824,1:47.98,Andriy TOMYLIN,20 JUL 1984,UKR,1,,Kyiv (UKR),29 MAY 2004,1084,/athletes/athlete=14230688
824,1:47.98,Andreas FREIMANN,19 AUG 1983,GER,4,,Dessau (GER),04 JUN 2004,1084,/athletes/athlete=14192108
824,1:47.98,Michael STEMBER,30 JAN 1978,USA,2,,"Palo Alto, CA (USA)",20 JUN 2004,1084,/athletes/athlete=14252178
824,1:47.98,Joel LEGARE,13 NOV 1982,USA,6,,"Chapel Hill, NC (USA)",26 JUN 2004,1084,/athletes/athlete=14243874
824,1:47.98,Juan Carlos ESTESO,13 OCT 1976,ESP,8,,San Sebastián (ESP),03 JUL 2004,1084,/athletes/athlete=14166650
829,1:47.99,Kris MCCARTHY,15 OCT 1979,AUS,2,,Sydney (AUS),29 FEB 2004,1084,/athletes/athlete=14179207
829,1:47.99,Shawn ABRAHAMS,04 JUL 1970,RSA,2,,Cape Town (RSA),19 MAR 2004,1084,/athletes/athlete=14219629
829,1:47.99,Volodimir KOVALYK,25 MAY 1976,UKR,2,,Kyiv (UKR),29 MAY 2004,1084,/athletes/athlete=14230131
829,1:47.99,Paul CROSS,19 AUG 1983,USA,1h3,,"Austin, TX (USA)",10 JUN 2004,1084,/athletes/athlete=14235624
829,1:47.99,Trent RITER,15 JUN 1982,USA,16h1,,"Sacramento, CA (USA)",09 JUL 2004,1084,/athletes/athlete=14249629
829,1:47.99,Jesse O'CONNELL,20 MAR 1982,USA,3h2,,"Sacramento, CA (USA)",09 JUL 2004,1084,/athletes/athlete=14247429
829,1:47.99,Abdulrahman SULEIMAN,10 JAN 1984,QAT,4,,Ninove (BEL),24 JUL 2004,1084,/athletes/athlete=14219112
829,1:47.99,Yuriy BORZAKOVSKIY,12 APR 1981,RUS,1h9,,Tula (RUS),29 JUL 2004,1084,/athletes/athlete=14221887
829,1:47.99,Adil HADJ HAMOU,23 MAR 1979,FRA,2,,La Chaux-de-Fonds (SUI),08 AUG 2004,1084,/athletes/athlete=14185257
838,1:48.00,Ben ARMEL,16 AUG 1980,USA,4,,"Palo Alto, CA (USA)",30 APR 2004,1084,/athletes/united-states/ben-armel-014231519
838,1:48.00,John LITEI,02 JUN 1983,KEN,8,,Villeneuve d'Ascq (FRA),26 JUN 2004,1084,/athletes/athlete=14208908
838,1:48.00,Fernando ALMEIDA,22 JUN 1981,POR,4,,Bielsko-Biala (POL),27 JUN 2004,1084,/athletes/athlete=14217988
838,1:48.00,Hiroshi SASANO,23 SEP 1978,JPN,2,,Fukagawa (JPN),30 JUN 2004,1084,/athletes/athlete=14205586
838,1:48.00,Adam ABDU ADAM,15 JUN 1983,QAT,6,,Padova (ITA),04 JUL 2004,1084,/athletes/athlete=14218964
838,1:48.00,Ramil ARITKULOV,01 MAR 1978,RUS,1,,Kazan (RUS),09 JUL 2004,1084,/athletes/athlete=14221692
838,1:48.00,Gary REED,25 OCT 1981,CAN,2,,Birmingham (GBR),25 JUL 2004,1084,/athletes/athlete=14173596
845,1:48.01,Nick THORNTON,28 APR 1981,USA,3,,"Palo Alto, CA (USA)",26 MAR 2004,1083,/athletes/athlete=14253191
845,1:48.01,Nathan BRANNEN,08 SEP 1982,CAN,1,,"Columbus, OH (USA)",30 APR 2004,1083,/athletes/athlete=14174555
845,1:48.01,Christian NEUNHÄUSERER,21 JUN 1978,ITA,1,,Lana (ITA),23 JUN 2004,1083,/athletes/athlete=14200984
848,1:48.02,Kevin HICKS,07 NOV 1984,USA,5h1,,"Gainesville, FL (USA)",28 MAY 2004,1083,/athletes/athlete=14240676
848,1:48.02,Mike INGE,31 JAN 1984,USA,3,,"Bloomington, IN (USA)",26 JUN 2004,1083,/athletes/athlete=14241522
848,1:48.02,Paul MCMULLEN,19 FEB 1972,USA,3,,"Bloomington, IN (USA)",02 JUL 2004,1083,/athletes/athlete=14245773
